"quantidade_doadores","total_receita","media_receita","recursos_de_outros_candidatos.comites","recursos_de_partidos","recursos_de_pessoas_físicas","recursos_de_pessoas_juridicas","recursos_proprios","votos","quantidade_despesas","quantidade_fornecedores","media_despesa","sexo"
5,6667.46,1111.24333333333,5709.46,6325.485,700,250,8,3302,11,5,606.132727272727,2
5,60367.61,4311.97214285714,1780,25000,33587.61,28086,5019.35,4694,89,32,678.287752808989,1
17,81130,2617.09677419355,4217.5,6325.485,27430,32600,21100,15505,81,18,1001.58790123457,2
13,32014.98,1032.74129032258,15962.98,6325.485,14402,1650,5019.35,4672,56,16,571.696071428571,2
13,594170,39611.3333333333,4217.5,456000,37800,95370,5000,43787,245,106,5410.21648979592,2
1,43573.7,1980.62272727273,4217.5,43573.7,4550,28086,5019.35,191,42,11,1037.46904761905,1
32,1016338.89,12245.0468674699,4217.5,6325.485,28500,957838.89,30000,31583,740,388,1373.25354054054,2
3,10247.03,602.766470588235,4217.5,9997.03,4550,28086,250,503,17,3,602.766470588235,2
3,17040,2840,4217.5,6000,500,28086,10540,3679,35,21,486.857142857143,2
5,5500.95,785.85,4520.95,6325.485,980,28086,5019.35,353,7,5,785.85,2
7,76614,8512.66666666667,4217.5,6325.485,69864,28086,6750,4201,322,297,237.931677018634,2
5,10090,840.833333333333,4217.5,6325.485,6040,1920,2130,1045,19,7,531.052631578947,2
5,25264,2526.4,907,6325.485,3207,28086,21150,1307,10,7,2526.4,1
2,57799,5254.45454545455,57799,6325.485,4550,28086,5019.35,997,40,21,1444.19,1
26,49200,1892.30769230769,4217.5,6325.485,42200,28086,7000,6917,61,27,805.426393442623,2
6,5420,903.333333333333,4217.5,6325.485,5420,28086,5019.35,2416,7,7,774.285714285714,1
1,9878,823.166666666667,9878,6325.485,4550,28086,5019.35,541,12,1,823.166666666667,1
2,9850,3283.33333333333,4217.5,6325.485,5000,28086,4850,1085,58,15,169.826551724138,2
7,7830,783,4864,6325.485,1851,28086,1115,1448,29,8,278.545172413793,2
3,3800,760,4217.5,6325.485,1600,28086,2200,741,12,7,317.1675,2
2,175000,58333.3333333333,4217.5,150000,4550,25000,5019.35,4717,105,65,1665.54142857143,2
10,185603.21,8069.7047826087,4887.5,6325.485,44665.71,8000,128050,27966,139,87,1335.26165467626,2
62,4205979.45,43360.6128865979,133847.92,2204400,395866.36,1380970.2,90103.57,104849,1354,736,3106.33638847858,2
5,9815.61,1090.62333333333,3971.86,2343.75,500,28086,3000,195,12,8,817.9675,1
2,4807.51,961.502,557.51,4250,4550,28086,5019.35,232,13,10,369.031538461538,2
4,933.13,186.626,294.38,6325.485,48.75,28086,590,2418,5,4,186.626,2
3,5707.5,951.25,607.5,5000,100,28086,5019.35,1791,6,4,951.25,2
4,7549.31,1887.3275,6849.31,6325.485,400,300,5019.35,327,4,4,1887.3275,1
5,5288.4,1057.68,4670,6325.485,600,28086,18.4,14650,5,5,1057.68,2
4,25459,1212.33333333333,4217.5,2739,300,28086,22420,565,59,14,431.508474576271,2
1,7267,726.7,7267,6325.485,4550,28086,5019.35,527,10,1,726.7,1
13,451631.5,17370.4423076923,135131.5,2e+05,63500,53000,5019.35,59435,284,161,1590.25179577465,1
2,3102,517,4217.5,6325.485,2000,28086,1102,1532,8,6,375.11875,2
105,1105594.45,7370.62966666667,36264.21,129950,191230.26,412149.98,336000,54393,1423,712,859.061328179902,1
4,21548.01,1795.6675,18520.96,2827.05,200,28086,5019.35,314,12,4,1795.6675,2
3,2002.55,500.6375,4217.5,554.55,1448,28086,5019.35,6,4,3,500.6375,1
16,71801.8,2659.32592592593,5761.25,2343.75,51006.8,8690,4000,4447,62,31,1154.25564516129,2
2,5585,1861.66666666667,585,6325.485,4550,28086,5000,254,9,3,620.555555555556,1
2,23014,3835.66666666667,4217.5,4000,4550,19014,5019.35,2083,12,9,1920.20833333333,2
4,14145.3,1571.7,5759,6325.485,4550,1500,6886.3,3893,16,7,884.08125,2
3,12400,4133.33333333333,10200,6325.485,2200,28086,5019.35,940,18,18,688.888888888889,2
2,991150,110127.777777778,1150,990000,4550,28086,5019.35,32123,72,49,7291.04527777778,2
4,110775,8521.15384615385,4217.5,6325.485,21300,28086,89475,7559,74,18,1493.77094594595,1
4,2200,550,1200,500,200,28086,300,172,4,4,550,1
65,65486.52,963.037058823529,4217.5,6325.485,60003,28086,5483.52,6558,90,29,727.628,1
265,3430462.63,11066.008483871,280,9650,1826761.83,1207720.8,386050,96073,5207,4970,658.809594776263,1
2,15700,3925,4217.5,15000,4550,700,5019.35,281,95,55,165.263157894737,1
